Timestamp,Reg No,Job role that you are interested in,What is the minimum salary of students placed through campus (In LPA..respond as a number),What is the maximum salary of students placed through campus (In LPA..respond as a number),What is the  median salary of students placed through campus (In LPA..respond as a number),Which is the highest paying company,Rate your contribution towards extra curricular activities,Rate your technical competencies,What are your package expectations (LPA),your CIA % of last semester,your GPA of last semester,Your maximum attendance % till last semester,Internships Interests
12-5-2024 11:53:00,2341322,Software Engineer,10,9,8,Capgemini,2,4,12,81,70,95,Research
12-5-2024 11:53:44,2341336_3,Data Engineer,5,12,5,DE Shaw,4,3,3.5,77,59,79,None
12-5-2024 12:01:38,2341328,Data Scientist,1,12,5,DE Shaw,4,3,5,69,67,93,Industry
12-5-2024 12:02:52,2341328,Business Analyst,3,20,4,DE Shaw,3,4,5,67,69,92,Industry
12-5-2024 12:04:25,2341328,Data Engineer,2,15,5,Deolite,4,3,4,65,70,91,Research
12-5-2024 12:26:48,2341351,Business Analyst,3,20,6,DE Shaw,3,3,7,50,50,75,Industry
7-8-2025 7:50:06,12345,Data Engineer,20,10,15,Deolite,5,4,20,93,8,93,Industry
7-8-2025 7:50:11,2548560,Data Scientist,6 LPA,20 LPA,12 LPA,DE Shaw,3,3,10 - 14 LPA,78,9.03,99,Industry
7-8-2025 7:50:21,2548536,Data Scientist,300000,2400000,800000,DE Shaw,4,3,1000000,81,92,75,Industry
7-8-2025 7:50:30,2548512,Data Scientist,850000,3300000,1400000,DE Shaw,5,5,1400000,70,3.55,96,Industry
7-8-2025 7:50:31,2548533,Business Analyst,"5,00,000","33,00,000","10,00,000",DE Shaw,4,3,"15,00,000",85,3.9,99,Industry
7-8-2025 7:50:37,2548547,Software Engineer,4,20,8,DE Shaw,4,2,8,86,8.71,92,Industry
7-8-2025 7:50:40,2548523,Software Engineer,6,12,9,DE Shaw,3,3,12,75,3.3,95,Industry
7-8-2025 7:50:40,2548556,Data Scientist,4LPA,12LPA,8LPA,Deolite,3,3,9LPA,86%,3/5,90,Industry
7-8-2025 7:50:47,2548535,Data Engineer,12,33,15,EY,2,2,6,ongoing,ongoing,as of now 100,Industry
7-8-2025 7:50:52,7,Business Analyst,5,20,10,Capgemini,4,4,12,85,8.5,93,Industry
7-8-2025 7:50:57,2548552,Data Engineer,5 LPA,33,9,DE Shaw,2,3,16 LPA,75,3.5,82,Industry
7-8-2025 7:50:57,37,Data Scientist,3,8,5,Capgemini,3,4,10,90,8,100,Research
7-8-2025 7:51:08,2548561,Software Engineer,"5,00,000","34,00,000","9,00,000",DE Shaw,4,3,"6,50,000",66,3.4,95,Industry
7-8-2025 7:51:08,2548591,Data Scientist,4.5,15,6,Deolite,3,4,8,80,3.6,100,Industry
7-8-2025 7:51:13,2548570,Business Analyst,11.5  LPA,33 LPA,24. 3 LPA,DE Shaw,3,4,27 LPA,82,8.7,89,Industry
7-8-2025 7:51:13,2548538,Software Engineer,500000,3300000,2000000,Capgemini,2,2,12LPA,,9.76,99%,Industry
7-8-2025 7:51:14,99,Data Scientist,5L,24L,10L,DE Shaw,3,3,8L,50%,8.6,95%,Research
7-8-2025 7:51:16,2548577,Software Engineer,5,20,10,Deolite,2,4,7,85,3.6,100,Industry
7-8-2025 7:51:21,2548544,Business Analyst,3.5 LPA,33 LPA,9,DE Shaw,5,3,7 LPA,65%,8.6,100%,Research
7-8-2025 7:51:21,20243,Business Analyst,700000,3300000,1500000,Deolite,3,3,1500000,,9.8,95.76%,Industry
7-8-2025 7:51:24,254662,Data Scientist,8,20,14,DE Shaw,3,4,10,80,3.5,90,Research
7-8-2025 7:51:25,2547404,Data Scientist,6LPA,20LPA,10LPA,Capgemini,5,3,30LPA,8,8,96,Industry
7-8-2025 7:51:31,2548503,Software Engineer,6,22,14,DE Shaw,1,3,14,75,3.56,85,Industry
7-8-2025 7:51:35,2548553,Data Scientist,"3,00,000","22,00,000","5,00,000",DE Shaw,4,3,"7,00,000",86.67,8.9,90%,Research
7-8-2025 7:51:37,2548508,Business Analyst,10 LPA,30 LPA,15 LPA,EY,4,4,15 LPA,87,9.2,85,Industry
7-8-2025 7:51:38,2548551,Software Engineer,6,12,9,Deolite,3,3,7,,,,Industry
7-8-2025 7:51:48,2548506,Business Analyst,4,24,9,Deolite,3,4,6,80,8.5,85,Industry
7-8-2025 7:51:49,2548613,Software Engineer,4,15,8,Capgemini,5,4,10,85%,8.75,95%,Industry
7-8-2025 7:51:53,1120567,Business Analyst,4,24,9,Deolite,2,3,15,80,3.41,90,Industry
7-8-2025 7:51:54,2548525,Business Analyst,10 LPA,40 LPA,7 LPA,Capgemini,5,4,15 LPA,80%,7.7,85%,Industry
7-8-2025 7:51:55,2548559,Software Engineer,3,32,4,Capgemini,2,4,6,90,8,82,Industry
7-8-2025 7:51:58,2548502,Data Scientist,7,30,10,DE Shaw,2,4,15,NA,NA,52,Industry
7-8-2025 7:52:10,2548545,Software Engineer,6,12,8,Deolite,2,3,22,80,,97,Industry
7-8-2025 7:52:11,2548505,Data Engineer,8,22,12.5,EY,1,3,8,74.4,7.84,92,Industry
7-8-2025 7:52:12,78494038,Business Analyst,2000000,4000000,3000000,EY,4,3,3000000,95,9.25,100,Industry
7-8-2025 7:52:12,2548509,Data Scientist,6,24,200,EY,3,4,10,NA,NA,98,Industry
7-8-2025 7:52:13,2548532,Data Scientist,4,12,9,Deolite,4,3,6,3.6,8.4,95,Industry
7-8-2025 7:52:15,69420,Software Engineer,NA,NA,NA,EY,1,1,1 Morbillion,35%,2.5,85%,None
7-8-2025 7:52:15,2548529,Data Engineer,6,12,8,Deolite,2,3,15,80%,3.3,85%,Industry
7-8-2025 7:52:16,2548518,Data Scientist,5-6,8-10,7-6,Capgemini,4,5,8-7,85%,9.14,100.00%,Research
7-8-2025 7:52:21,2548550,Software Engineer,"3,00,000","12,00,000","6,00,000",Deolite,2,3,"6,00,000",75,80,96,Industry
7-8-2025 7:52:25,22112027,Data Scientist,400000,700000,500000,EY,3,3,400000,89,9,90,Industry
7-8-2025 7:52:27,2548534,Data Engineer,3LPA,22LPA,6LPA,Deolite,2,3,3LPA,72%,7,79,Industry
7-8-2025 7:52:28,2548530,Business Analyst,6LPA,25LPA,14LPA,Capgemini,5,5,10-12,71%,7.26,100.00%,Industry
7-8-2025 7:52:35,2548569,Data Engineer,6,22,10,DE Shaw,3,3,20,70,9,85,Industry
7-8-2025 7:52:39,MS224434,Business Analyst,7L,18L,12L,Deolite,4,4,12L,92,9.2,,Industry
7-8-2025 7:52:50,1234567,Data Engineer,500000,1400000,800000,DE Shaw,3,3,1200000,69,3.3/4,87%,Industry
7-8-2025 7:52:54,2548575,Software Engineer,250000,1200000,600000,DE Shaw,5,4,800000,95,92,85,Research
7-8-2025 7:52:57,2548522,Software Engineer,"3,00,000","12,00,000","6,00,000",Deolite,3,3,"6,00,000",76,3.56,94,Industry
7-8-2025 7:52:58,2548524,Software Engineer,3,24,6,DE Shaw,1,3,12,85,7.68,85,Industry
7-8-2025 7:53:02,2548542,Data Scientist,1,8,4,,5,3,8,74.4,3.56,95,Industry
7-8-2025 7:53:02,2548548,Software Engineer,6,18,8,DE Shaw,3,4,8,70,3.37,100,Industry
7-8-2025 7:53:05,2548510,Data Scientist,800000,3500000,1500000,Deolite,2,4,1000000,,8,89,Research
7-8-2025 7:53:07,2541559,Software Engineer,8,22,12,Deolite,4,4,12,80,8.3,86,Industry
7-8-2025 7:53:09,2548555,Software Engineer,10,15,5,Capgemini,4,3,25,80%,8.14,70,Research
7-8-2025 7:53:17,2548528,Software Engineer,5 LPA,10 LPA,8 LPA,Deolite,1,3,7,80,80,90,Research
7-8-2025 7:53:21,2548514,Business Analyst,16,5,10,DE Shaw,4,3,8,79.22,3.7,96,Industry
7-8-2025 7:53:38,2548564,Software Engineer,5,15,8,EY,3,4,9,79,3.89,100,Industry
7-8-2025 7:53:45,2548527,Data Scientist,3LPA,33LPA,7LPA,Capgemini,3,3,10LPA,80%,7.9,89,Industry
